artist_name,date,popularity_score,followers,monthly_listeners,youtube_subscribers,youtube_total_views,youtube_video_count
ARANDA,2025-08-27,0,104,N/A,0,0,0,1164,33
Casa 24Beats,2025-08-27,0,0,N/A,10,1216,66,0,0
Casa 24,2025-08-28,5,461,N/A,622,29112,94,1690,577
Chef Lino,2025-08-28,4,260,N/A,15,232,5,1353,12
PYRO,2025-08-28,1,200,N/A,0,0,0,0,0
bo.wlie,2025-08-28,0,89,N/A,94,13782,71,591,69
Mango Blade,2025-08-28,1,129,N/A,0,0,0,622,9
ZACKO,2025-08-28,0,7,N/A,0,0,0,506,21
ARANDA,2025-08-28,0,104,N/A,0,0,0,1164,33
Casa 24Beats,2025-08-28,0,0,N/A,11,1259,68,0,0
Casa 24,2025-08-29,5,459,N/A,623,29112,94,1689,577
Chef Lino,2025-08-29,4,260,N/A,15,232,5,1350,12
PYRO,2025-08-29,1,200,N/A,0,0,0,0,0
bo.wlie,2025-08-29,0,89,N/A,94,13782,71,591,69
Mango Blade,2025-08-29,1,129,N/A,0,0,0,621,9
ZACKO,2025-08-29,0,7,N/A,0,0,0,504,21
ARANDA,2025-08-29,0,104,N/A,0,0,0,1163,33
Casa 24Beats,2025-08-29,0,0,N/A,11,1323,70,0,0
Casa 24,2025-08-30,5,456,N/A,623,29116,94,1689,577
Chef Lino,2025-08-30,4,260,N/A,15,232,5,1351,12
PYRO,2025-08-30,1,200,N/A,0,0,0,0,0
bo.wlie,2025-08-30,0,89,N/A,94,13782,71,594,69
Mango Blade,2025-08-30,1,129,N/A,0,0,0,621,9
ZACKO,2025-08-30,0,7,N/A,0,0,0,505,21
ARANDA,2025-08-30,0,104,N/A,0,0,0,1162,33
Casa 24Beats,2025-08-30,0,0,N/A,11,1418,70,0,0
Casa 24,2025-08-30,5,462,556,623,29117,94,1689,577
Chef Lino,2025-08-30,4,260,326,15,232,5,1351,12
PYRO,2025-08-30,1,206,106,0,0,0,0,0
bo.wlie,2025-08-30,0,89,16,94,13782,71,594,69
